Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]"
Population density (people per sq. km of land area),"EN.POP.DNST","Pakistan","PAK","150.679192611042","200.912109537152","285.568271326276","289.635179275633","294.376416562889","299.399256693649","304.848674242424","310.65509677252","316.133077781237","321.067474833956","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Palau","PLW","..","41.6913043478261","38.6891304347826","38.7217391304348","38.7260869565217","38.6913043478261","38.6782608695652","38.6586956521739","38.6065217391304","38.5369565217391","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Panama","PAN","33.0317863868711","40.4946058649448","54.3589584457636","55.298259579061","56.1857643569695","57.0868158533297","57.87626044756","58.5791992450795","59.3255998921542","60.1072930709086","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Papua New Guinea","PNG","8.60416243430641","12.2268780638608","19.7891577971117","20.268325751888","20.744850505675","21.2185001987369","21.6750121450338","22.1103564015369","22.5305149494325","22.9422669257607","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Paraguay","PRY","10.1579335514724","12.8388321167883","15.7289856531588","15.9543418071986","16.1776541656179","16.3983337528316","16.621542914674","16.8240171155298","17.0713596633508","17.282671943072","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Peru","PER","17.19903984375","20.77994609375","24.1144484375","24.47237265625","24.9199875","25.35101796875","25.65513984375","25.9030328125","26.1526859375","26.44188828125","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Philippines","PHL","210.801442130328","267.046976556998","357.969342992253","362.61090317604","367.123744843546","371.615799711574","375.897186168964","379.317000368917","382.21262367106","385.321122178623","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Poland","POL","124.427118090698","124.909820758105","124.008253045495","124.0237303635","124.031583760656","124.025595374212","122.548420605625","120.815285854296","120.297131562612","119.787615502661","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Portugal","PRT","109.106207650273","112.457901639344","112.716384151187","112.441815784188","112.261935951514","112.288582794065","112.406676011074","113.113510527741","113.904957775507","115.475189289738","..",".."
Population density (people per sq. km of land area),"EN.POP.DNST","Puerto Rico (US)","PRI","398.759864712514","429.605975197294","392.382412626832","384.536302142052","370.990980834273","372.34396843292","369.965050732807","367.836640360767","363.03686583991","361.194137542277","..",".."
